Time,Asteroid,VelocityX,VelocityY,VelocityZ
2025-04-11 10:46:37.116,23,2.639181,-19.0974,-3.776882
2025-04-11 10:46:37.117,37,2.426468,23.55076,-7.747341
2025-04-11 10:46:37.134,9,-0.5369039,-14.71658,-0.5349354
2025-04-11 10:46:37.136,23,2.63765,-19.10107,-3.787422
2025-04-11 10:46:37.136,28,-6.480963,11.23748,5.763143
2025-04-11 10:46:37.138,37,2.426538,23.55366,-7.758902
2025-04-11 10:46:37.150,9,-0.5348958,-14.72163,-0.5486541
2025-04-11 10:46:37.152,23,2.636104,-19.10472,-3.798017
2025-04-11 10:46:37.153,28,-6.487643,11.23807,5.754339
2025-04-11 10:46:37.153,37,2.426603,23.55652,-7.770544
2025-04-11 10:46:37.169,9,-0.533888,-14.72414,-0.5555333
2025-04-11 10:46:37.169,23,2.635325,-19.10653,-3.803334
2025-04-11 10:46:37.171,28,-6.490977,11.23836,5.749932
2025-04-11 10:46:37.171,37,2.426633,23.55794,-7.776394
2025-04-11 10:46:37.186,9,-0.5318651,-14.72914,-0.569331
2025-04-11 10:46:37.187,23,2.633756,-19.11015,-3.81401
2025-04-11 10:46:37.189,28,-6.497633,11.23891,5.741109
2025-04-11 10:46:37.189,37,2.426689,23.56075,-7.788157
2025-04-11 10:46:37.203,9,-0.5298321,-14.7341,-0.5831814
2025-04-11 10:46:37.204,23,2.632171,-19.11373,-3.82474
2025-04-11 10:46:37.206,28,-6.504275,11.23943,5.732273
2025-04-11 10:46:37.207,37,2.426738,23.56352,-7.799999
2025-04-11 10:46:37.224,9,-0.5288119,-14.73657,-0.5901262
2025-04-11 10:46:37.225,23,2.631372,-19.11551,-3.830125
2025-04-11 10:46:37.225,28,-6.507589,11.23968,5.72785
2025-04-11 10:46:37.226,37,2.426761,23.56489,-7.805951
2025-04-11 10:46:37.240,9,-0.5267641,-14.74149,-0.6040552
2025-04-11 10:46:37.241,23,2.629763,-19.11906,-3.840936
2025-04-11 10:46:37.242,28,-6.514206,11.24017,5.718996
2025-04-11 10:46:37.242,37,2.426801,23.5676,-7.817914
2025-04-11 10:46:37.257,9,-0.5247063,-14.74637,-0.6180363
2025-04-11 10:46:37.258,23,2.628138,-19.12258,-3.851801
2025-04-11 10:46:37.259,28,-6.520808,11.24063,5.71013
2025-04-11 10:46:37.260,37,2.426835,23.57026,-7.829959
2025-04-11 10:46:37.274,9,-0.5236737,-14.74879,-0.6250465
2025-04-11 10:46:37.274,23,2.627319,-19.12433,-3.857254
2025-04-11 10:46:37.276,28,-6.524102,11.24084,5.705692
2025-04-11 10:46:37.277,37,2.42685,23.57158,-7.836012
2025-04-11 10:46:37.293,9,-0.521601,-14.75362,-0.6391059
2025-04-11 10:46:37.294,23,2.62567,-19.12781,-3.8682
2025-04-11 10:46:37.295,28,-6.530679,11.24126,5.696807
2025-04-11 10:46:37.296,37,2.426874,23.57419,-7.848178
2025-04-11 10:46:37.312,9,-0.5195184,-14.75841,-0.6532173
2025-04-11 10:46:37.313,23,2.624005,-19.13126,-3.8792
2025-04-11 10:46:37.314,28,-6.53724,11.24166,5.687912
2025-04-11 10:46:37.314,37,2.426892,23.57675,-7.860425
2025-04-11 10:46:37.327,9,-0.5184734,-14.76079,-0.6602925
2025-04-11 10:46:37.328,23,2.623166,-19.13297,-3.884721
2025-04-11 10:46:37.330,28,-6.540514,11.24184,5.683459
2025-04-11 10:46:37.331,37,2.426898,23.57801,-7.866578
2025-04-11 10:46:37.345,9,-0.5163759,-14.76553,-0.6744817
2025-04-11 10:46:37.347,23,2.621476,-19.13638,-3.895802
2025-04-11 10:46:37.348,28,-6.547049,11.2422,5.674546
2025-04-11 10:46:37.349,37,2.426906,23.5805,-7.878946
2025-04-11 10:46:37.366,9,-0.5142684,-14.77023,-0.6887226
2025-04-11 10:46:37.367,23,2.619769,-19.13976,-3.906937
2025-04-11 10:46:37.367,28,-6.553568,11.24252,5.665622
2025-04-11 10:46:37.368,37,2.426907,23.58294,-7.891395
2025-04-11 10:46:37.381,9,-0.513211,-14.77257,-0.6958624
2025-04-11 10:46:37.382,23,2.61891,-19.14144,-3.912525
2025-04-11 10:46:37.382,28,-6.556821,11.24268,5.661156
2025-04-11 10:46:37.383,37,2.426905,23.58415,-7.89765
2025-04-11 10:46:37.402,9,-0.5110886,-14.77721,-0.7101805
2025-04-11 10:46:37.403,23,2.617179,-19.14477,-3.923741
2025-04-11 10:46:37.404,28,-6.563314,11.24297,5.652215
2025-04-11 10:46:37.404,37,2.426895,23.58652,-7.91022
2025-04-11 10:46:37.417,9,-0.5089563,-14.78182,-0.7245501
2025-04-11 10:46:37.418,23,2.615431,-19.14807,-3.93501
2025-04-11 10:46:37.419,28,-6.569791,11.24323,5.643264
2025-04-11 10:46:37.420,37,2.426878,23.58885,-7.92287
2025-04-11 10:46:37.433,9,-0.5078864,-14.7841,-0.731754
2025-04-11 10:46:37.434,23,2.614551,-19.14971,-3.940665
